Data published in District Resource Statement,Data as of,Borough,Community District,DRS Medicaid (MA) Only Enrollees,DRS Total Medicaid (MA) Enrollees,DRS Cash Assistance (CA) Recipients,DRS Cash Assistance (CA) Cases,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Recipients,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Households
FY 2021,10/31/2020,QUEENS,Q06,8428,12520,1057,695,10818,7399
FY 2021,10/31/2020,QUEENS,Q07,31720,42103,4587,2976,28227,18445
FY 2021,10/31/2020,QUEENS,Q08,15006,22298,3476,2128,19197,11465
FY 2021,10/31/2020,QUEENS,Q09,15203,22855,3857,2313,23766,13645
FY 2021,10/31/2020,QUEENS,Q10,10931,16852,2926,1729,17564,10501
FY 2021,10/31/2020,QUEENS,Q11,9032,11551,1000,640,7627,5013
FY 2021,10/31/2020,QUEENS,Q12,22580,42083,11296,6658,47381,28564
FY 2021,10/31/2020,QUEENS,Q13,13545,22118,4625,2928,22315,14062
FY 2021,10/31/2020,QUEENS,Q14,11527,28238,8554,4069,30586,16721
FY 2021,10/31/2020,STATEN ISLAND,S01,15288,36042,11906,5644,39339,20848
FY 2021,10/31/2020,STATEN ISLAND,S02,11317,17962,2787,1522,15906,9241
FY 2021,10/31/2020,STATEN ISLAND,S03,8147,12338,1709,1006,11365,7070
FY 2022,10/31/2021,BRONX,B01,15099,38302,12891,6820,45551,25203
FY 2022,10/31/2021,BRONX,B02,7007,19251,6709,3402,22604,12670
FY 2022,10/31/2021,BRONX,B03,13103,35381,12845,6871,43339,24281
FY 2022,10/31/2021,BRONX,B04,19760,46129,14923,7799,56813,32391
FY 2022,10/31/2021,BRONX,B05,17494,43928,15660,8123,55012,30984
FY 2022,10/31/2021,BRONX,B06,11404,34199,13710,6865,40296,22227
FY 2022,10/31/2021,BRONX,B07,17099,39277,12879,6879,47904,27853
FY 2022,10/31/2021,BRONX,B08,8289,16018,3626,1945,18365,11173
FY 2022,10/31/2021,BRONX,B09,21058,47351,14925,7457,56251,31424
FY 2022,10/31/2021,BRONX,B10,9364,17879,4324,2311,20537,12504
FY 2022,10/31/2021,BRONX,B11,11550,23661,6440,3403,26514,15562
FY 2022,10/31/2021,BRONX,B12,14566,36344,14082,7051,40888,22740
FY 2022,10/31/2021,BROOKLYN,K01,30398,43647,7274,2821,51034,20981
FY 2022,10/31/2021,BROOKLYN,K02,6538,13283,3562,2151,14054,9630
FY 2022,10/31/2021,BROOKLYN,K03,18492,36711,10322,5400,43931,24526
FY 2022,10/31/2021,BROOKLYN,K04,10861,20557,4404,2515,24529,15685
FY 2022,10/31/2021,BROOKLYN,K05,24420,51312,15142,7785,65022,37933
FY 2022,10/31/2021,BROOKLYN,K06,5062,10463,2585,1508,11424,7499
FY 2022,10/31/2021,BROOKLYN,K07,16603,24100,3468,2126,21824,13505
FY 2022,10/31/2021,BROOKLYN,K08,8751,18020,5057,2993,19718,13095
FY 2022,10/31/2021,BROOKLYN,K09,10614,18444,4093,2444,20831,13022
FY 2022,10/31/2021,BROOKLYN,K10,14031,19849,2468,1461,18320,11040
FY 2022,10/31/2021,BROOKLYN,K11,25464,37978,3442,2009,36870,22016
FY 2022,10/31/2021,BROOKLYN,K12,40862,57286,10764,2798,60402,20227
FY 2022,10/31/2021,BROOKLYN,K13,14829,31677,5301,2668,31786,21129
FY 2022,10/31/2021,BROOKLYN,K14,17923,29159,4859,2798,31418,18751
FY 2022,10/31/2021,BROOKLYN,K15,17827,29040,3193,1766,27944,17531
FY 2022,10/31/2021,BROOKLYN,K16,11857,32269,12275,6277,37790,22012
FY 2022,10/31/2021,BROOKLYN,K17,15001,28763,8289,4962,31891,20780
FY 2022,10/31/2021,BROOKLYN,K18,16470,28062,5728,3183,29909,18520
FY 2022,10/31/2021,MANHATTAN,M01,1502,2702,533,374,2144,1616
FY 2022,10/31/2021,MANHATTAN,M02,2430,3478,415,341,3002,2432
FY 2022,10/31/2021,MANHATTAN,M03,20626,38090,7063,4480,37643,25706
FY 2022,10/31/2021,MANHATTAN,M04,6385,13342,3832,2748,13375,10128
FY 2022,10/31/2021,MANHATTAN,M05,1916,5761,2378,1635,5230,3996
FY 2022,10/31/2021,MANHATTAN,M06,3251,5879,1342,1051,5254,4441
FY 2022,10/31/2021,MANHATTAN,M07,8398,17210,4492,3044,17412,12928
FY 2022,10/31/2021,MANHATTAN,M08,4513,7422,1280,890,6223,4871
FY 2022,10/31/2021,MANHATTAN,M09,9306,19647,5321,3280,22711,14972
FY 2022,10/31/2021,MANHATTAN,M10,12009,27079,8406,5221,31276,20314
FY 2022,10/31/2021,MANHATTAN,M11,15904,37665,11522,6855,43307,27277
FY 2022,10/31/2021,MANHATTAN,M12,21778,40151,7063,4536,47271,32499
FY 2022,10/31/2021,QUEENS,Q01,16330,25660,4507,2709,24378,14991
FY 2022,10/31/2021,QUEENS,Q02,11268,15060,1856,1200,11751,7448
FY 2022,10/31/2021,QUEENS,Q03,22371,28505,2962,1885,25170,14720
FY 2022,10/31/2021,QUEENS,Q04,24487,31568,3249,2051,27615,16178
FY 2022,10/31/2021,QUEENS,Q05,13912,19149,2502,1574,20011,11974
FY 2022,10/31/2021,QUEENS,Q06,8496,12451,1005,671,10988,7517
FY 2022,10/31/2021,QUEENS,Q07,30960,41206,4518,2929,29709,19542
FY 2022,10/31/2021,QUEENS,Q08,15115,22092,3164,1904,19280,11548
FY 2022,10/31/2021,QUEENS,Q09,15634,23059,3795,2254,23967,14010
FY 2022,10/31/2021,QUEENS,Q10,11403,16767,2578,1555,17543,10674
FY 2022,10/31/2021,QUEENS,Q11,8907,11469,1048,668,8087,5306
FY 2022,10/31/2021,QUEENS,Q12,24893,43422,10601,6094,45787,27752
FY 2022,10/31/2021,QUEENS,Q13,14604,22813,4500,2773,22056,13957
FY 2022,10/31/2021,QUEENS,Q14,13140,28369,7526,3548,29788,16406
FY 2022,10/31/2021,STATEN ISLAND,S01,17021,36596,11403,5395,38428,20650
FY 2022,10/31/2021,STATEN ISLAND,S02,11621,17979,2745,1486,16092,9321
FY 2022,10/31/2021,STATEN ISLAND,S03,8325,12413,1687,976,11389,7142
FY 2023,10/31/2022,BRONX,B01,11787,36789,15304,8243,44997,25290
FY 2023,10/31/2022,BRONX,B02,5746,18445,7567,3923,22661,12875
FY 2023,10/31/2022,BRONX,B03,10622,34826,15322,8263,43273,24411
FY 2023,10/31/2022,BRONX,B04,15581,44576,18208,9651,56755,32759
FY 2023,10/31/2022,BRONX,B05,13915,43077,18953,10071,54468,31171
FY 2023,10/31/2022,BRONX,B06,9256,33909,15890,8058,39881,22201
FY 2023,10/31/2022,BRONX,B07,14205,38917,15596,8444,48684,28487
FY 2023,10/31/2022,BRONX,B08,7096,15608,4548,2483,18580,11290
FY 2023,10/31/2022,BRONX,B09,17649,46093,17331,8876,56167,31486
FY 2023,10/31/2022,BRONX,B10,8472,17634,5100,2782,20645,12644
FY 2023,10/31/2022,BRONX,B11,10014,23315,7654,4137,26671,15641
FY 2023,10/31/2022,BRONX,B12,12665,36517,16319,8262,41240,23011
FY 2023,10/31/2022,BROOKLYN,K01,24987,39821,8860,3772,50838,20980
FY 2023,10/31/2022,BROOKLYN,K02,5195,12625,4129,2619,13930,9564
FY 2023,10/31/2022,BROOKLYN,K03,15098,35232,12258,6568,43824,24176
FY 2023,10/31/2022,BROOKLYN,K04,8991,18968,4818,2804,23573,15193
FY 2023,10/31/2022,BROOKLYN,K05,19868,49276,17933,9643,64426,37873
FY 2023,10/31/2022,BROOKLYN,K06,3996,9690,2975,1728,10632,7006
FY 2023,10/31/2022,BROOKLYN,K07,12840,20973,4228,2538,22434,13926
FY 2023,10/31/2022,BROOKLYN,K08,7279,17589,6611,4206,19343,12969
FY 2023,10/31/2022,BROOKLYN,K09,9124,17600,4912,2991,21120,13182
